var1,var2,verb,answer,probability
"('Visited Asia', 'yes/no')","('Smoker', 'yes/no')",increase the chance of,FALSE,0.999999568
"('Smoker', 'yes/no')","('Visited Asia', 'yes/no')",increase the chance of,FALSE,0.99999933
"('Visited Asia', 'yes/no')","('Smoker', 'yes/no')",NOT increase the chance of,TRUE,0.679178393
"('Visited Asia', 'yes/no')","('Tuberculosis', 'yes/no')",increase the chance of,TRUE,0.999999687
"('Tuberculosis', 'yes/no')","('Visited Asia', 'yes/no')",increase the chance of,FALSE,0.99999933
"('Visited Asia', 'yes/no')","('Tuberculosis', 'yes/no')",NOT increase the chance of,FALSE,0.939912524
"('Visited Asia', 'yes/no')","('Lung Cancer', 'yes/no')",increase the chance of,FALSE,0.999998972
"('Lung Cancer', 'yes/no')","('Visited Asia', 'yes/no')",increase the chance of,FALSE,0.99999921
"('Visited Asia', 'yes/no')","('Lung Cancer', 'yes/no')",NOT increase the chance of,FALSE,0.777298847
"('Visited Asia', 'yes/no')","('Bronchitis', 'yes/no')",increase the chance of,FALSE,0.777299218
"('Bronchitis', 'yes/no')","('Visited Asia', 'yes/no')",increase the chance of,FALSE,0.999999091
"('Visited Asia', 'yes/no')","('Bronchitis', 'yes/no')",NOT increase the chance of,FALSE,0.679177239
"('Visited Asia', 'yes/no')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",increase the chance of,TRUE,0.999290085
"('individual has either Tuberculosis or Lung Cancer', 'yes/no')","('Visited Asia', 'yes/no')",increase the chance of,FALSE,0.99999933
"('Visited Asia', 'yes/no')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",NOT increase the chance of,TRUE,0.499999045
"('Visited Asia', 'yes/no')","('X-ray Result', 'positive/negative')",increase the chance of,FALSE,0.999999568
"('X-ray Result', 'positive/negative')","('Visited Asia', 'yes/no')",increase the chance of,FALSE,0.999999091
"('Visited Asia', 'yes/no')","('X-ray Result', 'positive/negative')",NOT increase the chance of,FALSE,0.999290085
"('Visited Asia', 'yes/no')","('Dyspnea', 'yes/no')",increase the chance of,FALSE,0.999876326
"('Dyspnea', 'yes/no')","('Visited Asia', 'yes/no')",increase the chance of,FALSE,0.999999091
"('Visited Asia', 'yes/no')","('Dyspnea', 'yes/no')",NOT increase the chance of,FALSE,0.904648976
"('Smoker', 'yes/no')","('Tuberculosis', 'yes/no')",increase the chance of,TRUE,0.999999687
"('Tuberculosis', 'yes/no')","('Smoker', 'yes/no')",increase the chance of,FALSE,0.99999933
"('Smoker', 'yes/no')","('Tuberculosis', 'yes/no')",NOT increase the chance of,FALSE,0.999738341
"('Smoker', 'yes/no')","('Lung Cancer', 'yes/no')",increase the chance of,TRUE,0.999999568
"('Lung Cancer', 'yes/no')","('Smoker', 'yes/no')",increase the chance of,FALSE,0.99999933
"('Smoker', 'yes/no')","('Lung Cancer', 'yes/no')",NOT increase the chance of,FALSE,0.99999921
"('Smoker', 'yes/no')","('Bronchitis', 'yes/no')",increase the chance of,TRUE,0.99999921
"('Bronchitis', 'yes/no')","('Smoker', 'yes/no')",increase the chance of,FALSE,0.999999449
"('Smoker', 'yes/no')","('Bronchitis', 'yes/no')",NOT increase the chance of,FALSE,0.99999921
"('Smoker', 'yes/no')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",increase the chance of,TRUE,0.999999687
"('individual has either Tuberculosis or Lung Cancer', 'yes/no')","('Smoker', 'yes/no')",increase the chance of,FALSE,0.999999449
"('Smoker', 'yes/no')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",NOT increase the chance of,FALSE,0.962671893
"('Smoker', 'yes/no')","('X-ray Result', 'positive/negative')",increase the chance of,TRUE,0.999996111
"('X-ray Result', 'positive/negative')","('Smoker', 'yes/no')",increase the chance of,FALSE,0.999999449
"('Smoker', 'yes/no')","('X-ray Result', 'positive/negative')",NOT increase the chance of,FALSE,0.962671782
