var1,var2,verb,answer,probability
"('Visited Asia', 'yes/no')","('Smoker', 'yes/no')",lead to,FALSE,0.999999449
"('Smoker', 'yes/no')","('Visited Asia', 'yes/no')",lead to,FALSE,0.99999933
"('Visited Asia', 'yes/no')","('Smoker', 'yes/no')",NOT lead to,TRUE,0.991422193
"('Visited Asia', 'yes/no')","('Tuberculosis', 'yes/no')",lead to,TRUE,0.999998734
"('Tuberculosis', 'yes/no')","('Visited Asia', 'yes/no')",lead to,FALSE,0.99999933
"('Visited Asia', 'yes/no')","('Tuberculosis', 'yes/no')",NOT lead to,TRUE,0.499999254
"('Visited Asia', 'yes/no')","('Lung Cancer', 'yes/no')",lead to,FALSE,0.999999687
"('Lung Cancer', 'yes/no')","('Visited Asia', 'yes/no')",lead to,FALSE,0.99999933
"('Visited Asia', 'yes/no')","('Lung Cancer', 'yes/no')",NOT lead to,TRUE,0.499999135
"('Visited Asia', 'yes/no')","('Bronchitis', 'yes/no')",lead to,FALSE,0.999664356
"('Bronchitis', 'yes/no')","('Visited Asia', 'yes/no')",lead to,FALSE,0.99999933
"('Visited Asia', 'yes/no')","('Bronchitis', 'yes/no')",NOT lead to,TRUE,0.924140545
"('Visited Asia', 'yes/no')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",lead to,TRUE,0.996827092
"('individual has either Tuberculosis or Lung Cancer', 'yes/no')","('Visited Asia', 'yes/no')",lead to,FALSE,0.99999933
"('Visited Asia', 'yes/no')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",NOT lead to,TRUE,0.731056596
"('Visited Asia', 'yes/no')","('X-ray Result', 'positive/negative')",lead to,FALSE,0.999999687
"('X-ray Result', 'positive/negative')","('Visited Asia', 'yes/no')",lead to,FALSE,0.999999091
"('Visited Asia', 'yes/no')","('X-ray Result', 'positive/negative')",NOT lead to,TRUE,0.499999641
"('Visited Asia', 'yes/no')","('Dyspnea', 'yes/no')",lead to,FALSE,0.999998018
"('Dyspnea', 'yes/no')","('Visited Asia', 'yes/no')",lead to,FALSE,0.99999933
"('Visited Asia', 'yes/no')","('Dyspnea', 'yes/no')",NOT lead to,TRUE,0.97068703
"('Smoker', 'yes/no')","('Tuberculosis', 'yes/no')",lead to,TRUE,0.999999449
"('Tuberculosis', 'yes/no')","('Smoker', 'yes/no')",lead to,FALSE,0.99999921
"('Smoker', 'yes/no')","('Tuberculosis', 'yes/no')",NOT lead to,FALSE,0.880795511
"('Smoker', 'yes/no')","('Lung Cancer', 'yes/no')",lead to,TRUE,0.999999568
"('Lung Cancer', 'yes/no')","('Smoker', 'yes/no')",lead to,FALSE,0.999999091
"('Smoker', 'yes/no')","('Lung Cancer', 'yes/no')",NOT lead to,FALSE,0.99999921
"('Smoker', 'yes/no')","('Bronchitis', 'yes/no')",lead to,TRUE,0.99999933
"('Bronchitis', 'yes/no')","('Smoker', 'yes/no')",lead to,FALSE,0.999999091
"('Smoker', 'yes/no')","('Bronchitis', 'yes/no')",NOT lead to,FALSE,0.999998376
"('Smoker', 'yes/no')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",lead to,TRUE,0.999999687
"('individual has either Tuberculosis or Lung Cancer', 'yes/no')","('Smoker', 'yes/no')",lead to,FALSE,0.99999933
