var1,var2,verb,answer,probability
"('Visited Asia', 'yes/no')","('Smoker', 'yes/no')",raise the risk of,FALSE,0.999999568
"('Smoker', 'yes/no')","('Visited Asia', 'yes/no')",raise the risk of,FALSE,0.999999449
"('Visited Asia', 'yes/no')","('Smoker', 'yes/no')",NOT raise the risk of,TRUE,0.995929667
"('Visited Asia', 'yes/no')","('Tuberculosis', 'yes/no')",raise the risk of,TRUE,0.999999687
"('Tuberculosis', 'yes/no')","('Visited Asia', 'yes/no')",raise the risk of,FALSE,0.999999449
"('Visited Asia', 'yes/no')","('Tuberculosis', 'yes/no')",NOT raise the risk of,FALSE,0.880796351
"('Visited Asia', 'yes/no')","('Lung Cancer', 'yes/no')",raise the risk of,FALSE,0.99999933
"('Lung Cancer', 'yes/no')","('Visited Asia', 'yes/no')",raise the risk of,FALSE,0.99999921
"('Visited Asia', 'yes/no')","('Lung Cancer', 'yes/no')",NOT raise the risk of,FALSE,0.817573712
"('Visited Asia', 'yes/no')","('Bronchitis', 'yes/no')",raise the risk of,FALSE,0.952573566
"('Bronchitis', 'yes/no')","('Visited Asia', 'yes/no')",raise the risk of,FALSE,0.99999933
"('Visited Asia', 'yes/no')","('Bronchitis', 'yes/no')",NOT raise the risk of,TRUE,0.622458013
"('Visited Asia', 'yes/no')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",raise the risk of,TRUE,0.999664356
"('individual has either Tuberculosis or Lung Cancer', 'yes/no')","('Visited Asia', 'yes/no')",raise the risk of,FALSE,0.99999933
"('Visited Asia', 'yes/no')","('individual has either Tuberculosis or Lung Cancer', 'yes/no')",NOT raise the risk of,TRUE,0.679177462
"('Visited Asia', 'yes/no')","('X-ray Result', 'positive/negative')",raise the risk of,FALSE,0.999999687
"('X-ray Result', 'positive/negative')","('Visited Asia', 'yes/no')",raise the risk of,FALSE,0.99999933
"('Visited Asia', 'yes/no')","('X-ray Result', 'positive/negative')",NOT raise the risk of,FALSE,0.999841289
"('Visited Asia', 'yes/no')","('Dyspnea', 'yes/no')",raise the risk of,FALSE,0.999903614
"('Dyspnea', 'yes/no')","('Visited Asia', 'yes/no')",raise the risk of,FALSE,0.99999921
"('Visited Asia', 'yes/no')","('Dyspnea', 'yes/no')",NOT raise the risk of,FALSE,0.622458477
"('Smoker', 'yes/no')","('Tuberculosis', 'yes/no')",raise the risk of,TRUE,0.999999806
"('Tuberculosis', 'yes/no')","('Smoker', 'yes/no')",raise the risk of,FALSE,0.999999568
"('Smoker', 'yes/no')","('Tuberculosis', 'yes/no')",NOT raise the risk of,FALSE,0.999446644
"('Smoker', 'yes/no')","('Lung Cancer', 'yes/no')",raise the risk of,TRUE,0.99999933
