var1,var2,verb,answer,probability
"('Exposure to pollutants', 'low/high')","('Smoker', 'yes/no')",cause,False,0.9999992103693378
"('Smoker', 'yes/no')","('Exposure to pollutants', 'low/high')",cause,False,0.999999448776502
"('Exposure to pollutants', 'low/high')","('individual has Cancer', 'yes/no')",cause,True,0.9999995679801056
"('individual has Cancer', 'yes/no')","('Exposure to pollutants', 'low/high')",cause,False,0.9999992103693378
"('Exposure to pollutants', 'low/high')","('Dyspnea', 'yes/no')",cause,True,0.9999996871837232
"('Dyspnea', 'yes/no')","('Exposure to pollutants', 'low/high')",cause,False,0.9999993295729128
"('Exposure to pollutants', 'low/high')","('X-ray Result', 'positive/negative')",cause,False,0.9995689468939613
"('X-ray Result', 'positive/negative')","('Exposure to pollutants', 'low/high')",cause,False,0.9999992103693378
"('Smoker', 'yes/no')","('individual has Cancer', 'yes/no')",cause,True,0.9999996871837232
"('individual has Cancer', 'yes/no')","('Smoker', 'yes/no')",cause,False,0.9999989719621736
"('Smoker', 'yes/no')","('Dyspnea', 'yes/no')",cause,True,0.9999996871837232
"('Dyspnea', 'yes/no')","('Smoker', 'yes/no')",cause,False,0.999999091165777
"('Smoker', 'yes/no')","('X-ray Result', 'positive/negative')",cause,True,0.9626723342845573
"('X-ray Result', 'positive/negative')","('Smoker', 'yes/no')",cause,False,0.9999989719621736
"('individual has Cancer', 'yes/no')","('Dyspnea', 'yes/no')",cause,True,0.9999984951481292
"('Dyspnea', 'yes/no')","('individual has Cancer', 'yes/no')",cause,False,0.9999993295729128
"('individual has Cancer', 'yes/no')","('X-ray Result', 'positive/negative')",cause,True,0.9947795528003623
"('X-ray Result', 'positive/negative')","('individual has Cancer', 'yes/no')",cause,False,0.9999992103693378
"('Dyspnea', 'yes/no')","('X-ray Result', 'positive/negative')",cause,False,0.9999992103693378
"('X-ray Result', 'positive/negative')","('Dyspnea', 'yes/no')",cause,False,0.9999644035311729
