var1,var2,verb,answer,probability
"('Exposure to pollutants', 'low/high')","('Smoker', 'yes/no')",increase the chance of,False,0.9999995679801056
"('Smoker', 'yes/no')","('Exposure to pollutants', 'low/high')",increase the chance of,False,0.9999995679801056
"('Exposure to pollutants', 'low/high')","('individual has Cancer', 'yes/no')",increase the chance of,True,0.9999995679801056
"('individual has Cancer', 'yes/no')","('Exposure to pollutants', 'low/high')",increase the chance of,False,0.999999448776502
"('Exposure to pollutants', 'low/high')","('Dyspnea', 'yes/no')",increase the chance of,True,0.9999996871837232
"('Dyspnea', 'yes/no')","('Exposure to pollutants', 'low/high')",increase the chance of,False,0.9999995679801056
"('Exposure to pollutants', 'low/high')","('X-ray Result', 'positive/negative')",increase the chance of,True,0.7772986387134039
"('X-ray Result', 'positive/negative')","('Exposure to pollutants', 'low/high')",increase the chance of,False,0.9999993295729128
"('Smoker', 'yes/no')","('individual has Cancer', 'yes/no')",increase the chance of,True,0.9999996871837232
"('individual has Cancer', 'yes/no')","('Smoker', 'yes/no')",increase the chance of,False,0.9999992103693378
"('Smoker', 'yes/no')","('Dyspnea', 'yes/no')",increase the chance of,True,0.9999996871837232
"('Dyspnea', 'yes/no')","('Smoker', 'yes/no')",increase the chance of,False,0.999999448776502
"('Smoker', 'yes/no')","('X-ray Result', 'positive/negative')",increase the chance of,True,0.9999896741288624
"('X-ray Result', 'positive/negative')","('Smoker', 'yes/no')",increase the chance of,False,0.999999448776502
"('individual has Cancer', 'yes/no')","('Dyspnea', 'yes/no')",increase the chance of,True,0.9999996871837232
"('Dyspnea', 'yes/no')","('individual has Cancer', 'yes/no')",increase the chance of,False,0.9999993295729128
"('individual has Cancer', 'yes/no')","('X-ray Result', 'positive/negative')",increase the chance of,True,0.9988302244702674
"('X-ray Result', 'positive/negative')","('individual has Cancer', 'yes/no')",increase the chance of,False,0.9046493668175963
"('Dyspnea', 'yes/no')","('X-ray Result', 'positive/negative')",increase the chance of,False,0.9999996871837232
"('X-ray Result', 'positive/negative')","('Dyspnea', 'yes/no')",increase the chance of,False,0.562175664861011
