var1,var2,verb,answer,probability
"('Exposure to pollutants', 'low/high')","('Smoker', 'yes/no')",influence,False,0.999999448776502
"('Smoker', 'yes/no')","('Exposure to pollutants', 'low/high')",influence,False,0.9999996871837232
"('Exposure to pollutants', 'low/high')","('individual has Cancer', 'yes/no')",influence,True,0.9999996871837232
"('individual has Cancer', 'yes/no')","('Exposure to pollutants', 'low/high')",influence,False,0.999999448776502
"('Exposure to pollutants', 'low/high')","('Dyspnea', 'yes/no')",influence,True,0.9999996871837232
"('Dyspnea', 'yes/no')","('Exposure to pollutants', 'low/high')",influence,False,0.999999448776502
"('Exposure to pollutants', 'low/high')","('X-ray Result', 'positive/negative')",influence,False,0.9980726312219192
"('X-ray Result', 'positive/negative')","('Exposure to pollutants', 'low/high')",influence,False,0.9999989719621736
"('Smoker', 'yes/no')","('individual has Cancer', 'yes/no')",influence,True,0.9999996871837232
"('individual has Cancer', 'yes/no')","('Smoker', 'yes/no')",influence,False,0.9999992103693378
"('Smoker', 'yes/no')","('Dyspnea', 'yes/no')",influence,True,0.9999996871837232
"('Dyspnea', 'yes/no')","('Smoker', 'yes/no')",influence,False,0.9999989719621736
"('Smoker', 'yes/no')","('X-ray Result', 'positive/negative')",influence,True,0.9997384599806582
"('X-ray Result', 'positive/negative')","('Smoker', 'yes/no')",influence,False,0.9999988527586979
"('individual has Cancer', 'yes/no')","('Dyspnea', 'yes/no')",influence,True,0.9999995679801056
"('Dyspnea', 'yes/no')","('individual has Cancer', 'yes/no')",influence,False,0.999999091165777
"('individual has Cancer', 'yes/no')","('X-ray Result', 'positive/negative')",influence,True,0.9998764455604927
"('X-ray Result', 'positive/negative')","('individual has Cancer', 'yes/no')",influence,False,0.9999995679801056
"('Dyspnea', 'yes/no')","('X-ray Result', 'positive/negative')",influence,False,0.999999448776502
"('X-ray Result', 'positive/negative')","('Dyspnea', 'yes/no')",influence,False,0.9980727502014557
