var1,var2,verb,answer,probability
"('Exposure to pollutants', 'low/high')","('Smoker', 'yes/no')",lead to,False,0.9999992103693378
"('Smoker', 'yes/no')","('Exposure to pollutants', 'low/high')",lead to,False,0.9999996871837232
"('Exposure to pollutants', 'low/high')","('individual has Cancer', 'yes/no')",lead to,True,0.9999995679801056
"('individual has Cancer', 'yes/no')","('Exposure to pollutants', 'low/high')",lead to,False,0.9999993295729128
"('Exposure to pollutants', 'low/high')","('Dyspnea', 'yes/no')",lead to,True,0.9999996871837232
"('Dyspnea', 'yes/no')","('Exposure to pollutants', 'low/high')",lead to,False,0.9999993295729128
"('Exposure to pollutants', 'low/high')","('X-ray Result', 'positive/negative')",lead to,False,0.99908847533638
"('X-ray Result', 'positive/negative')","('Exposure to pollutants', 'low/high')",lead to,False,0.9999992103693378
"('Smoker', 'yes/no')","('individual has Cancer', 'yes/no')",lead to,True,0.9999995679801056
"('individual has Cancer', 'yes/no')","('Smoker', 'yes/no')",lead to,False,0.999999091165777
"('Smoker', 'yes/no')","('Dyspnea', 'yes/no')",lead to,True,0.9999996871837232
"('Dyspnea', 'yes/no')","('Smoker', 'yes/no')",lead to,False,0.9999989719621736
"('Smoker', 'yes/no')","('X-ray Result', 'positive/negative')",lead to,True,0.9947795528003623
"('X-ray Result', 'positive/negative')","('Smoker', 'yes/no')",lead to,False,0.9999992103693378
"('individual has Cancer', 'yes/no')","('Dyspnea', 'yes/no')",lead to,True,0.9999995679801056
"('Dyspnea', 'yes/no')","('individual has Cancer', 'yes/no')",lead to,False,0.9999988527586979
"('individual has Cancer', 'yes/no')","('X-ray Result', 'positive/negative')",lead to,True,0.9998414082988808
"('X-ray Result', 'positive/negative')","('individual has Cancer', 'yes/no')",lead to,False,0.9999993295729128
"('Dyspnea', 'yes/no')","('X-ray Result', 'positive/negative')",lead to,False,0.9999995679801056
"('X-ray Result', 'positive/negative')","('Dyspnea', 'yes/no')",lead to,False,0.9997962419688495
