var1,var2,verb,answer,probability
"('Exposure to pollutants', 'low/high')","('Smoker', 'yes/no')",raise the risk of,False,0.9999995679801056
"('Smoker', 'yes/no')","('Exposure to pollutants', 'low/high')",raise the risk of,False,0.9999995679801056
"('Exposure to pollutants', 'low/high')","('individual has Cancer', 'yes/no')",raise the risk of,True,0.9999996871837232
"('individual has Cancer', 'yes/no')","('Exposure to pollutants', 'low/high')",raise the risk of,False,0.9999995679801056
"('Exposure to pollutants', 'low/high')","('Dyspnea', 'yes/no')",raise the risk of,True,0.9999996871837232
"('Dyspnea', 'yes/no')","('Exposure to pollutants', 'low/high')",raise the risk of,False,0.999999448776502
"('Exposure to pollutants', 'low/high')","('X-ray Result', 'positive/negative')",raise the risk of,False,0.9399118862605431
"('X-ray Result', 'positive/negative')","('Exposure to pollutants', 'low/high')",raise the risk of,False,0.9999992103693378
"('Smoker', 'yes/no')","('individual has Cancer', 'yes/no')",raise the risk of,True,0.9999996871837232
"('individual has Cancer', 'yes/no')","('Smoker', 'yes/no')",raise the risk of,False,0.999999448776502
"('Smoker', 'yes/no')","('Dyspnea', 'yes/no')",raise the risk of,True,0.9999998063873693
"('Dyspnea', 'yes/no')","('Smoker', 'yes/no')",raise the risk of,False,0.999999448776502
"('Smoker', 'yes/no')","('X-ray Result', 'positive/negative')",raise the risk of,True,0.9999415175046573
"('X-ray Result', 'positive/negative')","('Smoker', 'yes/no')",raise the risk of,False,0.9999993295729128
"('individual has Cancer', 'yes/no')","('Dyspnea', 'yes/no')",raise the risk of,True,0.9999993295729128
"('Dyspnea', 'yes/no')","('individual has Cancer', 'yes/no')",raise the risk of,False,0.9999992103693378
"('individual has Cancer', 'yes/no')","('X-ray Result', 'positive/negative')",raise the risk of,True,0.9968270920910962
"('X-ray Result', 'positive/negative')","('individual has Cancer', 'yes/no')",raise the risk of,False,0.9999987335551229
"('Dyspnea', 'yes/no')","('X-ray Result', 'positive/negative')",raise the risk of,False,0.9999995679801056
"('X-ray Result', 'positive/negative')","('Dyspnea', 'yes/no')",raise the risk of,False,0.9820132017014266
