verb1,verb2,statistic,p_value,significant,data
affect,cause,441.0,0.276817381620171,False,results/asia/
affect,increase_the_chance_of,446.0,0.7442984489960107,False,results/asia/
affect,influence,385.5,0.741265556167358,False,results/asia/
affect,lead_to,332.5,0.1365568272459538,False,results/asia/
affect,raise_the_risk_of,489.0,0.573534213478745,False,results/asia/
affect,result_in,361.5,0.1189477491108064,False,results/asia/
cause,increase_the_chance_of,455.5,0.48395800725136295,False,results/asia/
cause,influence,362.0,0.032364972478192616,True,results/asia/
cause,lead_to,403.0,0.3975685646821646,False,results/asia/
cause,raise_the_risk_of,384.5,0.036837198413177,True,results/asia/
cause,result_in,292.0,0.11252365646947496,False,results/asia/
increase_the_chance_of,influence,538.5,0.9825457790299273,False,results/asia/
increase_the_chance_of,lead_to,438.5,0.26487375614350617,False,results/asia/
increase_the_chance_of,raise_the_risk_of,323.0,0.24184095938398087,False,results/asia/
increase_the_chance_of,result_in,483.0,0.5296489409531177,False,results/asia/
influence,lead_to,247.0,0.0063155714731140304,True,results/asia/
influence,raise_the_risk_of,434.0,0.6375514938107173,False,results/asia/
influence,result_in,270.5,0.014395876993877472,True,results/asia/
lead_to,raise_the_risk_of,460.5,0.5198843449936723,False,results/asia/
lead_to,result_in,378.0,0.6667427747094736,False,results/asia/
raise_the_risk_of,result_in,438.5,0.2649308406957066,False,results/asia/
affect,cause,763.5,0.13527973218845624,False,results/cancer/
affect,increase_the_chance_of,836.5,0.7142590981999147,False,results/cancer/
affect,influence,801.5,0.842402839114315,False,results/cancer/
affect,lead_to,689.0,0.27452221763631,False,results/cancer/
affect,raise_the_risk_of,891.5,0.8626306846106796,False,results/cancer/
affect,result_in,747.5,0.2991744639571504,False,results/cancer/
cause,increase_the_chance_of,780.5,0.3220701433478075,False,results/cancer/
cause,influence,673.0,0.014069069580645108,True,results/cancer/
cause,lead_to,681.5,0.24911904932053253,False,results/cancer/
cause,raise_the_risk_of,693.5,0.013251454046023995,True,results/cancer/
cause,result_in,576.0,0.04651141850599582,True,results/cancer/
increase_the_chance_of,influence,933.5,0.9312756030934872,False,results/cancer/
increase_the_chance_of,lead_to,855.0,0.2947813325008223,False,results/cancer/
increase_the_chance_of,raise_the_risk_of,628.0,0.23398097877517043,False,results/cancer/
increase_the_chance_of,result_in,906.0,0.6210307584430649,False,results/cancer/
influence,lead_to,511.5,0.007717251607475829,True,results/cancer/
influence,raise_the_risk_of,828.0,0.6669670157733403,False,results/cancer/
influence,result_in,549.5,0.0276907970032982,True,results/cancer/
lead_to,raise_the_risk_of,890.0,0.5441724339324243,False,results/cancer/
lead_to,result_in,777.0,0.5431724416913639,False,results/cancer/
raise_the_risk_of,result_in,788.5,0.2593669892016712,False,results/cancer/
affect,cause,3467.5,0.03628624771180827,True,results/medicine/
affect,increase_the_chance_of,3632.0,0.760039340362469,False,results/medicine/
affect,influence,3111.0,0.5313972903461011,False,results/medicine/
affect,lead_to,3362.0,0.20056284737719487,False,results/medicine/
affect,raise_the_risk_of,4131.0,0.7686728599041613,False,results/medicine/
affect,result_in,3955.5,0.9126993215195568,False,results/medicine/
cause,increase_the_chance_of,3567.5,0.0620146821212792,False,results/medicine/
cause,influence,2980.0,0.0013578388825083094,True,results/medicine/
cause,lead_to,3035.0,0.04933494201962415,True,results/medicine/
cause,raise_the_risk_of,3721.5,0.005777748144634687,True,results/medicine/
cause,result_in,2849.0,0.010462210099480283,True,results/medicine/
increase_the_chance_of,influence,4245.0,0.9768160994191686,False,results/medicine/
increase_the_chance_of,lead_to,3477.5,0.052031818689548676,False,results/medicine/
increase_the_chance_of,raise_the_risk_of,3284.5,0.8878751019038172,False,results/medicine/
increase_the_chance_of,result_in,4324.5,0.5595678316883002,False,results/medicine/
influence,lead_to,2968.5,0.0018415675842126645,True,results/medicine/
influence,raise_the_risk_of,3414.0,0.11770157458101443,False,results/medicine/
influence,result_in,3513.0,0.1432894430513448,False,results/medicine/
lead_to,raise_the_risk_of,3964.5,0.41008113904056953,False,results/medicine/
lead_to,result_in,3479.5,0.20395472852422825,False,results/medicine/
raise_the_risk_of,result_in,4519.0,0.6554847749432721,False,results/medicine/
