var1,var2,verb,answer,probability
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Arteriosclerosis', 'Present/Absent')",affect,TRUE,0.999999806
"('Arteriosclerosis', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",affect,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Right Heart Syndrome', 'Present/Absent')",affect,FALSE,0.999903614
"('Right Heart Syndrome', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",affect,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Left Heart Syndrome', 'Present/Absent')",affect,FALSE,0.985935395
"('Left Heart Syndrome', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",affect,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",affect,FALSE,0.999999687
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",affect,FALSE,0.999999091
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",affect,FALSE,0.998498173
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",affect,FALSE,0.999999568
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Smoking', 'Smoker/Non-smoker')",affect,FALSE,0.999999091
"('Smoking', 'Smoker/Non-smoker')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",affect,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Radon Exposure', 'Exposed/Not exposed')",affect,FALSE,0.999999449
"('Radon Exposure', 'Exposed/Not exposed')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",affect,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Lung Cancer', 'Present/Absent')",affect,FALSE,0.999999687
"('Lung Cancer', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",affect,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Cough Up Blood', 'Yes/No')",affect,FALSE,0.999999687
"('Cough Up Blood', 'Yes/No')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",affect,FALSE,0.99999933
"('Arteriosclerosis', 'Present/Absent')","('Right Heart Syndrome', 'Present/Absent')",affect,TRUE,0.999664356
"('Right Heart Syndrome', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",affect,FALSE,0.999999687
"('Arteriosclerosis', 'Present/Absent')","('Left Heart Syndrome', 'Present/Absent')",affect,TRUE,0.999941398
"('Left Heart Syndrome', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",affect,FALSE,0.999999687
