var1,var2,verb,answer,probability
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Arteriosclerosis', 'Present/Absent')",increase the chance of,TRUE,0.999999687
"('Arteriosclerosis', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",increase the chance of,FALSE,0.999999568
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Right Heart Syndrome', 'Present/Absent')",increase the chance of,FALSE,0.777298917
"('Right Heart Syndrome', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",increase the chance of,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Left Heart Syndrome', 'Present/Absent')",increase the chance of,FALSE,0.904649562
"('Left Heart Syndrome', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",increase the chance of,FALSE,0.99999921
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",increase the chance of,FALSE,0.999999687
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",increase the chance of,FALSE,0.99999921
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",increase the chance of,FALSE,0.998498411
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",increase the chance of,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Smoking', 'Smoker/Non-smoker')",increase the chance of,FALSE,0.99999933
"('Smoking', 'Smoker/Non-smoker')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",increase the chance of,FALSE,0.999999687
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Radon Exposure', 'Exposed/Not exposed')",increase the chance of,FALSE,0.999999449
"('Radon Exposure', 'Exposed/Not exposed')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",increase the chance of,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Lung Cancer', 'Present/Absent')",increase the chance of,FALSE,0.999999449
"('Lung Cancer', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",increase the chance of,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Cough Up Blood', 'Yes/No')",increase the chance of,FALSE,0.999999687
"('Cough Up Blood', 'Yes/No')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",increase the chance of,FALSE,0.99999933
"('Arteriosclerosis', 'Present/Absent')","('Right Heart Syndrome', 'Present/Absent')",increase the chance of,TRUE,0.999954391
"('Right Heart Syndrome', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",increase the chance of,FALSE,0.999999687
"('Arteriosclerosis', 'Present/Absent')","('Left Heart Syndrome', 'Present/Absent')",increase the chance of,TRUE,0.999986813
"('Left Heart Syndrome', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",increase the chance of,FALSE,0.999999568
"('Arteriosclerosis', 'Present/Absent')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",increase the chance of,FALSE,0.996826739
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Arteriosclerosis', 'Present/Absent')",increase the chance of,FALSE,0.999999449
"('Arteriosclerosis', 'Present/Absent')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",increase the chance of,TRUE,0.999999449
