var1,var2,verb,answer,probability
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Arteriosclerosis', 'Present/Absent')",influence,TRUE,0.999999806
"('Arteriosclerosis', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",influence,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Right Heart Syndrome', 'Present/Absent')",influence,FALSE,0.999664237
"('Right Heart Syndrome', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",influence,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Left Heart Syndrome', 'Present/Absent')",influence,FALSE,0.985935395
"('Left Heart Syndrome', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",influence,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",influence,FALSE,0.999999687
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",influence,FALSE,0.99999921
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",influence,FALSE,0.999088594
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",influence,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Smoking', 'Smoker/Non-smoker')",influence,FALSE,0.999999091
"('Smoking', 'Smoker/Non-smoker')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",influence,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Radon Exposure', 'Exposed/Not exposed')",influence,FALSE,0.99999933
"('Radon Exposure', 'Exposed/Not exposed')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",influence,FALSE,0.99999921
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Lung Cancer', 'Present/Absent')",influence,FALSE,0.999999687
"('Lung Cancer', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",influence,FALSE,0.999999568
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Cough Up Blood', 'Yes/No')",influence,FALSE,0.999999687
"('Cough Up Blood', 'Yes/No')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",influence,FALSE,0.99999921
"('Arteriosclerosis', 'Present/Absent')","('Right Heart Syndrome', 'Present/Absent')",influence,TRUE,0.999664356
"('Right Heart Syndrome', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",influence,FALSE,0.999999687
"('Arteriosclerosis', 'Present/Absent')","('Left Heart Syndrome', 'Present/Absent')",influence,TRUE,0.999972152
"('Left Heart Syndrome', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",influence,FALSE,0.999999687
"('Arteriosclerosis', 'Present/Absent')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",influence,FALSE,0.999986694
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Arteriosclerosis', 'Present/Absent')",influence,FALSE,0.999999449
"('Arteriosclerosis', 'Present/Absent')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",influence,TRUE,0.999993727
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Arteriosclerosis', 'Present/Absent')",influence,FALSE,0.999999449
"('Arteriosclerosis', 'Present/Absent')","('Smoking', 'Smoker/Non-smoker')",influence,FALSE,0.999998972
"('Smoking', 'Smoker/Non-smoker')","('Arteriosclerosis', 'Present/Absent')",influence,TRUE,0.999999568
"('Arteriosclerosis', 'Present/Absent')","('Radon Exposure', 'Exposed/Not exposed')",influence,FALSE,0.999999449
"('Radon Exposure', 'Exposed/Not exposed')","('Arteriosclerosis', 'Present/Absent')",influence,FALSE,0.999986694
"('Arteriosclerosis', 'Present/Absent')","('Lung Cancer', 'Present/Absent')",influence,FALSE,0.999999687
"('Lung Cancer', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",influence,FALSE,0.999999449
"('Arteriosclerosis', 'Present/Absent')","('Cough Up Blood', 'Yes/No')",influence,FALSE,0.999289966
"('Cough Up Blood', 'Yes/No')","('Arteriosclerosis', 'Present/Absent')",influence,FALSE,0.99999933
"('Right Heart Syndrome', 'Present/Absent')","('Left Heart Syndrome', 'Present/Absent')",influence,FALSE,0.999999687
