var1,var2,verb,answer,probability
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Arteriosclerosis', 'Present/Absent')",lead to,TRUE,0.999999687
"('Arteriosclerosis', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",lead to,FALSE,0.99999921
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Right Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999996111
"('Right Heart Syndrome', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",lead to,FALSE,0.99999921
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Left Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999941398
"('Left Heart Syndrome', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",lead to,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",lead to,FALSE,0.999999806
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",lead to,FALSE,0.99999921
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",lead to,FALSE,0.999088475
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",lead to,FALSE,0.99999921
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Smoking', 'Smoker/Non-smoker')",lead to,FALSE,0.99999933
"('Smoking', 'Smoker/Non-smoker')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",lead to,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Radon Exposure', 'Exposed/Not exposed')",lead to,FALSE,0.99999933
"('Radon Exposure', 'Exposed/Not exposed')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",lead to,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Lung Cancer', 'Present/Absent')",lead to,FALSE,0.999999568
"('Lung Cancer', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",lead to,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Cough Up Blood', 'Yes/No')",lead to,FALSE,0.999999568
"('Cough Up Blood', 'Yes/No')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",lead to,FALSE,0.999999091
"('Arteriosclerosis', 'Present/Absent')","('Right Heart Syndrome', 'Present/Absent')",lead to,TRUE,0.999289966
"('Right Heart Syndrome', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",lead to,FALSE,0.999999687
"('Arteriosclerosis', 'Present/Absent')","('Left Heart Syndrome', 'Present/Absent')",lead to,TRUE,0.999941398
"('Left Heart Syndrome', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",lead to,FALSE,0.999999687
"('Arteriosclerosis', 'Present/Absent')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",lead to,FALSE,0.99992483
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Arteriosclerosis', 'Present/Absent')",lead to,FALSE,0.999999449
"('Arteriosclerosis', 'Present/Absent')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",lead to,TRUE,0.999996946
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Arteriosclerosis', 'Present/Absent')",lead to,FALSE,0.99999933
"('Arteriosclerosis', 'Present/Absent')","('Smoking', 'Smoker/Non-smoker')",lead to,FALSE,0.999998734
"('Smoking', 'Smoker/Non-smoker')","('Arteriosclerosis', 'Present/Absent')",lead to,TRUE,0.999999687
"('Arteriosclerosis', 'Present/Absent')","('Radon Exposure', 'Exposed/Not exposed')",lead to,FALSE,0.999999091
"('Radon Exposure', 'Exposed/Not exposed')","('Arteriosclerosis', 'Present/Absent')",lead to,FALSE,0.999996826
"('Arteriosclerosis', 'Present/Absent')","('Lung Cancer', 'Present/Absent')",lead to,FALSE,0.999999568
"('Lung Cancer', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",lead to,FALSE,0.999999568
"('Arteriosclerosis', 'Present/Absent')","('Cough Up Blood', 'Yes/No')",lead to,FALSE,0.999569066
"('Cough Up Blood', 'Yes/No')","('Arteriosclerosis', 'Present/Absent')",lead to,FALSE,0.99999921
"('Right Heart Syndrome', 'Present/Absent')","('Left Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999999687
"('Left Heart Syndrome', 'Present/Absent')","('Right Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999998853
"('Right Heart Syndrome', 'Present/Absent')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",lead to,TRUE,0.999995038
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Right Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999999806
"('Right Heart Syndrome', 'Present/Absent')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",lead to,TRUE,0.999999687
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Right Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999999687
"('Right Heart Syndrome', 'Present/Absent')","('Smoking', 'Smoker/Non-smoker')",lead to,FALSE,0.999999091
"('Smoking', 'Smoker/Non-smoker')","('Right Heart Syndrome', 'Present/Absent')",lead to,TRUE,0.999996826
"('Right Heart Syndrome', 'Present/Absent')","('Radon Exposure', 'Exposed/Not exposed')",lead to,FALSE,0.999999449
"('Radon Exposure', 'Exposed/Not exposed')","('Right Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999998257
"('Right Heart Syndrome', 'Present/Absent')","('Lung Cancer', 'Present/Absent')",lead to,FALSE,0.99999933
"('Lung Cancer', 'Present/Absent')","('Right Heart Syndrome', 'Present/Absent')",lead to,TRUE,0.999964404
"('Right Heart Syndrome', 'Present/Absent')","('Cough Up Blood', 'Yes/No')",lead to,TRUE,0.999972271
"('Cough Up Blood', 'Yes/No')","('Right Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999999687
"('Left Heart Syndrome', 'Present/Absent')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",lead to,TRUE,0.999796242
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Left Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999999568
"('Left Heart Syndrome', 'Present/Absent')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",lead to,TRUE,0.999999687
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Left Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999999568
"('Left Heart Syndrome', 'Present/Absent')","('Smoking', 'Smoker/Non-smoker')",lead to,FALSE,0.999998972
"('Smoking', 'Smoker/Non-smoker')","('Left Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999999687
"('Left Heart Syndrome', 'Present/Absent')","('Radon Exposure', 'Exposed/Not exposed')",lead to,FALSE,0.99999933
"('Radon Exposure', 'Exposed/Not exposed')","('Left Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999999687
"('Left Heart Syndrome', 'Present/Absent')","('Lung Cancer', 'Present/Absent')",lead to,FALSE,0.99999933
"('Lung Cancer', 'Present/Absent')","('Left Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999999568
"('Left Heart Syndrome', 'Present/Absent')","('Cough Up Blood', 'Yes/No')",lead to,TRUE,0.924140959
"('Cough Up Blood', 'Yes/No')","('Left Heart Syndrome', 'Present/Absent')",lead to,FALSE,0.999999568
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",lead to,TRUE,0.999876446
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",lead to,TRUE,0.999876326
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Smoking', 'Smoker/Non-smoker')",lead to,FALSE,0.999999091
"('Smoking', 'Smoker/Non-smoker')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",lead to,TRUE,0.999999687
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Radon Exposure', 'Exposed/Not exposed')",lead to,FALSE,0.99999921
"('Radon Exposure', 'Exposed/Not exposed')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",lead to,TRUE,0.999995038
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Lung Cancer', 'Present/Absent')",lead to,FALSE,0.999999449
"('Lung Cancer', 'Present/Absent')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",lead to,TRUE,0.999999449
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Cough Up Blood', 'Yes/No')",lead to,FALSE,0.731057685
"('Cough Up Blood', 'Yes/No')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",lead to,FALSE,0.562175698
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Smoking', 'Smoker/Non-smoker')",lead to,FALSE,0.999998972
"('Smoking', 'Smoker/Non-smoker')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",lead to,TRUE,0.999999091
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Radon Exposure', 'Exposed/Not exposed')",lead to,FALSE,0.99999933
