var1,var2,verb,answer,probability
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Arteriosclerosis', 'Present/Absent')",raise the risk of,TRUE,0.999999687
"('Arteriosclerosis', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",raise the risk of,FALSE,0.999999568
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Right Heart Syndrome', 'Present/Absent')",raise the risk of,FALSE,0.562175966
"('Right Heart Syndrome', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",raise the risk of,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Left Heart Syndrome', 'Present/Absent')",raise the risk of,TRUE,0.622458662
"('Left Heart Syndrome', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",raise the risk of,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",raise the risk of,FALSE,0.999999687
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",raise the risk of,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",raise the risk of,FALSE,0.999569066
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",raise the risk of,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Smoking', 'Smoker/Non-smoker')",raise the risk of,FALSE,0.99999933
"('Smoking', 'Smoker/Non-smoker')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",raise the risk of,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Radon Exposure', 'Exposed/Not exposed')",raise the risk of,FALSE,0.99999933
"('Radon Exposure', 'Exposed/Not exposed')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",raise the risk of,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Lung Cancer', 'Present/Absent')",raise the risk of,FALSE,0.999999568
"('Lung Cancer', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",raise the risk of,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Cough Up Blood', 'Yes/No')",raise the risk of,FALSE,0.999999687
"('Cough Up Blood', 'Yes/No')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",raise the risk of,FALSE,0.99999933
"('Arteriosclerosis', 'Present/Absent')","('Right Heart Syndrome', 'Present/Absent')",raise the risk of,TRUE,0.999903614
"('Right Heart Syndrome', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",raise the risk of,FALSE,0.999999449
"('Arteriosclerosis', 'Present/Absent')","('Left Heart Syndrome', 'Present/Absent')",raise the risk of,TRUE,0.999995038
"('Left Heart Syndrome', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",raise the risk of,FALSE,0.99999921
"('Arteriosclerosis', 'Present/Absent')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",raise the risk of,FALSE,0.99807275
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Arteriosclerosis', 'Present/Absent')",raise the risk of,FALSE,0.999999449
"('Arteriosclerosis', 'Present/Absent')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",raise the risk of,TRUE,0.999998495
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Arteriosclerosis', 'Present/Absent')",raise the risk of,FALSE,0.999999568
"('Arteriosclerosis', 'Present/Absent')","('Smoking', 'Smoker/Non-smoker')",raise the risk of,FALSE,0.99999921
"('Smoking', 'Smoker/Non-smoker')","('Arteriosclerosis', 'Present/Absent')",raise the risk of,TRUE,0.999999568
"('Arteriosclerosis', 'Present/Absent')","('Radon Exposure', 'Exposed/Not exposed')",raise the risk of,FALSE,0.999999568
"('Radon Exposure', 'Exposed/Not exposed')","('Arteriosclerosis', 'Present/Absent')",raise the risk of,FALSE,0.999972152
"('Arteriosclerosis', 'Present/Absent')","('Lung Cancer', 'Present/Absent')",raise the risk of,FALSE,0.999999687
"('Lung Cancer', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",raise the risk of,FALSE,0.999999806
"('Arteriosclerosis', 'Present/Absent')","('Cough Up Blood', 'Yes/No')",raise the risk of,FALSE,0.998498292
"('Cough Up Blood', 'Yes/No')","('Arteriosclerosis', 'Present/Absent')",raise the risk of,FALSE,0.99999933
"('Right Heart Syndrome', 'Present/Absent')","('Left Heart Syndrome', 'Present/Absent')",raise the risk of,FALSE,0.99999921
