var1,var2,verb,answer,probability
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Arteriosclerosis', 'Present/Absent')",result in,TRUE,0.999999449
"('Arteriosclerosis', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",result in,FALSE,0.99999921
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Right Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999983118
"('Right Heart Syndrome', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",result in,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Left Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999964284
"('Left Heart Syndrome', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",result in,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",result in,FALSE,0.999999687
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",result in,FALSE,0.99999933
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",result in,FALSE,0.999569066
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",result in,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Smoking', 'Smoker/Non-smoker')",result in,FALSE,0.999999449
"('Smoking', 'Smoker/Non-smoker')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",result in,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Radon Exposure', 'Exposed/Not exposed')",result in,FALSE,0.999999449
"('Radon Exposure', 'Exposed/Not exposed')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",result in,FALSE,0.999999091
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Lung Cancer', 'Present/Absent')",result in,FALSE,0.999999449
"('Lung Cancer', 'Present/Absent')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",result in,FALSE,0.999999449
"('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')","('Cough Up Blood', 'Yes/No')",result in,FALSE,0.999999449
"('Cough Up Blood', 'Yes/No')","('Eat Fatty Food', 'Consumes fatty foods) / Does not consume fatty foods')",result in,FALSE,0.99999933
"('Arteriosclerosis', 'Present/Absent')","('Right Heart Syndrome', 'Present/Absent')",result in,TRUE,0.998072988
"('Right Heart Syndrome', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",result in,FALSE,0.999999568
"('Arteriosclerosis', 'Present/Absent')","('Left Heart Syndrome', 'Present/Absent')",result in,TRUE,0.999569185
"('Left Heart Syndrome', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",result in,FALSE,0.999999687
"('Arteriosclerosis', 'Present/Absent')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",result in,FALSE,0.999995992
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Arteriosclerosis', 'Present/Absent')",result in,FALSE,0.999999449
"('Arteriosclerosis', 'Present/Absent')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",result in,TRUE,0.99997835
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Arteriosclerosis', 'Present/Absent')",result in,FALSE,0.999999449
"('Arteriosclerosis', 'Present/Absent')","('Smoking', 'Smoker/Non-smoker')",result in,FALSE,0.999998853
"('Smoking', 'Smoker/Non-smoker')","('Arteriosclerosis', 'Present/Absent')",result in,TRUE,0.999999687
"('Arteriosclerosis', 'Present/Absent')","('Radon Exposure', 'Exposed/Not exposed')",result in,FALSE,0.999999091
"('Radon Exposure', 'Exposed/Not exposed')","('Arteriosclerosis', 'Present/Absent')",result in,FALSE,0.99999182
"('Arteriosclerosis', 'Present/Absent')","('Lung Cancer', 'Present/Absent')",result in,FALSE,0.999999687
"('Lung Cancer', 'Present/Absent')","('Arteriosclerosis', 'Present/Absent')",result in,FALSE,0.999999449
"('Arteriosclerosis', 'Present/Absent')","('Cough Up Blood', 'Yes/No')",result in,FALSE,0.99992483
"('Cough Up Blood', 'Yes/No')","('Arteriosclerosis', 'Present/Absent')",result in,FALSE,0.999999449
"('Right Heart Syndrome', 'Present/Absent')","('Left Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999999687
"('Left Heart Syndrome', 'Present/Absent')","('Right Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999993608
"('Right Heart Syndrome', 'Present/Absent')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",result in,TRUE,0.999986813
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Right Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999999687
"('Right Heart Syndrome', 'Present/Absent')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",result in,TRUE,0.999999568
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Right Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999999687
"('Right Heart Syndrome', 'Present/Absent')","('Smoking', 'Smoker/Non-smoker')",result in,FALSE,0.999999091
"('Smoking', 'Smoker/Non-smoker')","('Right Heart Syndrome', 'Present/Absent')",result in,TRUE,0.999995992
"('Right Heart Syndrome', 'Present/Absent')","('Radon Exposure', 'Exposed/Not exposed')",result in,FALSE,0.99999933
"('Radon Exposure', 'Exposed/Not exposed')","('Right Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999999449
"('Right Heart Syndrome', 'Present/Absent')","('Lung Cancer', 'Present/Absent')",result in,FALSE,0.99999921
"('Lung Cancer', 'Present/Absent')","('Right Heart Syndrome', 'Present/Absent')",result in,TRUE,0.999954272
"('Right Heart Syndrome', 'Present/Absent')","('Cough Up Blood', 'Yes/No')",result in,TRUE,0.999972271
"('Cough Up Blood', 'Yes/No')","('Right Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999999568
"('Left Heart Syndrome', 'Present/Absent')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",result in,TRUE,0.999664356
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Left Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999999568
"('Left Heart Syndrome', 'Present/Absent')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",result in,TRUE,0.999999568
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Left Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999999568
"('Left Heart Syndrome', 'Present/Absent')","('Smoking', 'Smoker/Non-smoker')",result in,FALSE,0.999999091
"('Smoking', 'Smoker/Non-smoker')","('Left Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999999568
"('Left Heart Syndrome', 'Present/Absent')","('Radon Exposure', 'Exposed/Not exposed')",result in,FALSE,0.99999933
"('Radon Exposure', 'Exposed/Not exposed')","('Left Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999999687
"('Left Heart Syndrome', 'Present/Absent')","('Lung Cancer', 'Present/Absent')",result in,FALSE,0.99999933
"('Lung Cancer', 'Present/Absent')","('Left Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999999568
"('Left Heart Syndrome', 'Present/Absent')","('Cough Up Blood', 'Yes/No')",result in,TRUE,0.985935619
"('Cough Up Blood', 'Yes/No')","('Left Heart Syndrome', 'Present/Absent')",result in,FALSE,0.999999449
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Difficulty Breathing', 'Experiences difficulty/No difficulty')",result in,FALSE,0.999964523
"('Difficulty Breathing', 'Experiences difficulty/No difficulty')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",result in,TRUE,0.999989555
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Smoking', 'Smoker/Non-smoker')",result in,FALSE,0.999998972
"('Smoking', 'Smoker/Non-smoker')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",result in,TRUE,0.999999687
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Radon Exposure', 'Exposed/Not exposed')",result in,FALSE,0.99999933
"('Radon Exposure', 'Exposed/Not exposed')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",result in,TRUE,0.999995038
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Lung Cancer', 'Present/Absent')",result in,FALSE,0.999999568
"('Lung Cancer', 'Present/Absent')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",result in,TRUE,0.99999933
"('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')","('Cough Up Blood', 'Yes/No')",result in,FALSE,0.817573468
"('Cough Up Blood', 'Yes/No')","('Lungs Sound Funny', 'Abnormal sounds/Normal sounds')",result in,FALSE,0.989012169
